name,location,phone,costForTwo
Gogula's Sweets & Chats,BTM,+91 9649640353,200
La Pino'z Pizza,Koramangala 4th Block,+91 8049652662,600
Shiv Shakthi,HSR,+91 9008427624,100
Truly Punjab,Koramangala 1st Block,+91 8049652871,500
Wok Paper Scissors,Koramangala 5th Block,+91 720465399,550
Muthashy's,BTM,+91 8042274488,400
Nandhanam Restaurant,HSR,+91 8310884153,300
Royal Biryani Kitchen,BTM,+91 8045128743,600
Sagar Fast Food,Koramangala 8th Block,+91 8884520900,250
Kota Kachori,Koramangala 6th Block,+91 8049652458,400
Hakka Chinese Restaurant,Koramangala 1st Block,+91 8105432482,600
Shree Muthahalli Veg,HSR,+91 8884695222,300
Dum Biryani Hub,BTM,+91 8049653144,700
Gangothri Veg Restaurant,Koramangala 6th Block,+91 8025635060,300
Priya Juice & Snacks,HSR,+91 7907369724,200
Mumbai Tiffin,HSR,+91 nan,400
Savitha Family Restaurant,Koramangala 4th Block,+91 8025505786,500
Nutri Rich,Koramangala 7th Block,+91 8043761506,350
Ashirvaad Grand,BTM,+91 8026844799,400
Aasife & Brothers Biriyani Centre,HSR,+91 8049652512,600
Podi Idly,Koramangala 6th Block,+91 8041330399,250
Hotel Salam,HSR,+91 9845888885,400
Dosa Plaza,Koramangala 5th Block,+91 8049653350,200
Sardarji Ka Dhaba,Hosur Road,+91 9513530530,250
KF's Biryani's and Kababs,Koramangala 4th Block,+91 9620866906,400
Mustard Cafe,Koramangala 3rd Block,+91 8040940831,800
ONE IN A MELON,Koramangala 7th Block,+91 7406611666,300
Chaiwala,Koramangala 1st Block,+91 8095855997,100
Arya Hungry?,Koramangala 7th Block,+91 7899337350,450
Khai Khai,HSR,+91 7619207120,450
Paisa Vasool,Koramangala 7th Block,+91 9718221004,400
Rajveena Kitchen,BTM,+91 9710700938,500
Mamatha Restaurant,Bommanahalli,+91 7259100504,700
Sharma's Malai & Masala,Koramangala 1st Block,+91 7009006979,550
Howlin Wolf,HSR,+91 7795839478,700
Bubble Bee,HSR,+91 8049652716,400
Kannoor Restaurant,BTM,+91 8043724372,500
Hotel Junior Kuppanna,HSR,+91 8041633030,550
Cafe Madhura,HSR,+91 9886666380,200
7 Star Biryani,Koramangala 6th Block,+91 9880532833,250
HSR Agarval Bhavan,HSR,+91 9379912345,400
The Pancake Story,Koramangala 1st Block,+91 8049653454,300
The Village Hotel,HSR,+91 7022704592,450
Vegan Heat,Koramangala 1st Block,+91 8048513973,650
Zee5 Loft,Koramangala 6th Block,+91 8049653381,500
Desi Chopstick,HSR,+91 9108012102,400
Adyar Ananda Bhavan - Sweets,BTM,+91 8043334321,200
ReFresh Juice Junction,Koramangala 1st Block,+91 9738510375,200
Daba Delights,Koramangala 4th Block,+91 7678480945,400
Dindigul Time Pass Restaurant,HSR,+91 7795012021,700
Boston Barista - Kappayum Curriyum,BTM,+91 7760166444,350
Occasions,Koramangala 4th Block,+91 8048909425,400
Tibetan Kitchen,Koramangala 5th Block,+91 8025524435,600
Kairali,BTM,+91 9844034033,300
Tapri By The Corner,Koramangala 5th Block,+91 7349385173,250
Awesome Foods,BTM,+91 8123305294,300
The Mylapore Cafe,HSR,+91 8041472414,200
Tetto,Koramangala 1st Block,+91 8025634444,"1,200"
Bite Me Cupcakes,Koramangala 4th Block,+91 7259032026,300
Taaza Mithai,JP Nagar,+91 8022977704,100
Mirch,HSR,+91 8049652868,400
Public Khana,BTM,+91 8867777657,200
El Salver,BTM,+91 9916802277,700
Beer Adda,Koramangala 5th Block,+91 8045128825,"1,000"
AM's Cafe Recreate,BTM,+91 8151994019,250
Yo! Thali,HSR,+91 8049653510,400
Koramangala Social,Koramangala 7th Block,+91 8043723295,"1,500"
1000 B.C,Koramangala 5th Block,+91 9620946663,300
Min Mini Punjabi Dhaba,Koramangala 7th Block,+91 9243493482,400
Bearfoot Cafe,Koramangala 6th Block,+91 8904044405,600
1722 Urban Bistro,Koramangala 5th Block,+91 8043714030,600
South Tiffins,HSR,+91 8095500014,150
The House Of Paratha,Koramangala 5th Block,+91 8025505318,200
Davanagere Benne Dose,HSR,+91 9916751528,150
Friend's Cafe,Koramangala 7th Block,+91 8884740361,600
Nandanam Family Restaurant,BTM,+91 8049718609,350
Kuttanadu,HSR,+91 8042114333,700
Waffle Magic,Koramangala 6th Block,+91 8049652808,700
Desipun,Koramangala 5th Block,+91 9108182190,500
Dilli in a Box,Koramangala 7th Block,+91 8049653409,400
Indore Eat Restaurant,Koramangala 6th Block,+91 8310114053,100
Lucknowiz,Koramangala 1st Block,+91 8861997764,500
HSR SLV Fast Food,HSR,+91 9900928489,200
The Waffles Hut,HSR,+91 8025722900,400
Gam's Delicacy,Koramangala 7th Block,+91 8064555224,800
Aligarh House,Koramangala,+91 8042166111,400
Go Italia,Koramangala 6th Block,+91 8041515858,750
Waikiki740,Koramangala 6th Block,+91 9844002692,400
Ghee Biryani House,BTM,+91 9538833223,400
EggFactor - Street House,HSR,+91 9902805592,200
Smoke de Burger,Koramangala 5th Block,+91 9591066373,300
Flavours Hut,HSR,+91 8042021617,550
Blue Tokai Coffee Roasters,Koramangala 8th Block,+91 9319970404,400
Trio Dosa Connect,HSR,+91 9902638833,300
Momo Blues,Koramangala 5th Block,+91 8296129143,200
Purnabramha Maharashtrian Restaurant,HSR,+91 8550078515,850
Taste of Assam,Koramangala 4th Block,+91 9886941271,400
Nadan Thattukada,BTM,+91 nan,200
Rajesh Restaurant,HSR,+91 8095457454,700
Koshe Kosha,Koramangala 1st Block,+91 9830949494,600
Village Kitchen,HSR,+91 7022704592,250
Body Temple,BTM,+91 9033435979,500
Chai Makhani,Koramangala 5th Block,+91 7353891902,100
Sri Sapana Dhaba,BTM,+91 7411562150,250
Seven Ate Nine,HSR,+91 9686302222,700
Patiala Highway,Koramangala 6th Block,+91 8049653580,500
World Of Asia,BTM,+91 7034881888,300
Mynutrikitchen,HSR,+91 9886155115,300
Chapati House,Ejipura,+91 8126045111,300
Shree Durgamba Juice Centre,Koramangala 8th Block,+91 9164602164,200
Parika Multicuisine & Coastal Fine Dine,HSR,+91 8049653159,"1,000"
The Rendezvous,Koramangala 4th Block,+91 8041132655,800
Speedbreaker,BTM,+91 9980399477,300
Grapevine,HSR,+91 8971470114,"1,200"
New Tasty Cafeteria,BTM,+91 8026841198,500
Shudh Desi Khana,Koramangala 1st Block,+91 9986863810,200
Sulemani Chichas,Koramangala 5th Block,+91 8049652154,400
Namma Biriyani,Koramangala 5th Block,+91 8043758178,250
Ice Cafe & Lassi Shop,BTM,+91 7892293634,100
Maa Durga Fast Food,Koramangala 8th Block,+91 8073584451,300
Spicy Kitchen,HSR,+91 9663079398,500
Oliver Wraps,HSR,+91 8049652490,300
30 Square,Koramangala 5th Block,+91 9739275618,400
Fillers,BTM,+91 9663577118,300
Knight Ryders,BTM,+91 7259432492,400
Hotel Dine City,HSR,+91 9108389900,800
Falooda Cafe,BTM,+91 9945105785,200
Pulp Juice Bar,HSR,+91 8147468619,150
Paratha Darbar,Koramangala 1st Block,+91 7406063636,400
Village Donne Biryani,Koramangala 5th Block,+91 9880187342,300
House Stark Cafe,HSR,+91 9538735364,300
Bawarchi Biryani,Koramangala 6th Block,+91 7676319880,350
Terra Bites,Koramangala 4th Block,+91 8043744044,700
White Elefan Coffee and Snack Bar,Koramangala 6th Block,+91 9769946610,550
The Tandoori Chai,HSR,+91 8049585605,400
Tea Trails,HSR,+91 7483911500,600
Yummy Biryani,Koramangala 7th Block,+91 9663673346,200
Bonum cibum,HSR,+91 8022588010,"1,200"
Zero Mile Punjab,HSR,+91 9986785586,800
Anika's India Kitchen,HSR,+91 9538270610,250
Gulp The Pulp,Koramangala 4th Block,+91 9916364089,200
Golden Restaurant,HSR,+91 8048544452,750
Kwality Cakes N Bakes,HSR,+91 9206099666,350
Night Biryani,BTM,+91 8546822225,600
Kaaram,Koramangala 6th Block,+91 8049653061,500
Jose's Mess,BTM,+91 8026840905,300
Juice 99,BTM,+91 8075409113,150
Ammus Hot N Cool,BTM,+91 7829389148,300
Cakes & Candles,Koramangala 5th Block,+91 8042123531,300
New Gongura Grand,HSR,+91 8904133998,550
Kadal Da Meen,HSR,+91 8043746222,900
Smoothie Hub,BTM,+91 9108461458,100
Popsies,Koramangala 5th Block,+91 8065463880,550
Shree Saraswathi Sweets Centre,Koramangala 1st Block,+91 9986114708,100
Malabar Mandra,Koramangala 1st Block,+91 9036111919,700
Raj Rasoi,Ejipura,+91 9538818921,250
OMG Biriyani,BTM,+91 8049652478,600
Mayur,Hosur Road,+91 9676181454,500
Begin with us....Tea Time Cafe,Koramangala 7th Block,+91 8043718104,300
Chaska Bun,Koramangala 5th Block,+91 9886415555,300
Dreams Cafe - All Day English Food St.,Koramangala 1st Block,+91 8553617173,600
Asha Tiffins,HSR,+91 7619682498,150
Pingara,Koramangala 1st Block,+91 8025631601,550
Calicut Durbar,Koramangala 7th Block,+91 nan,500
Kor Cafe,Koramangala 1st Block,+91 8043022322,300
Gyani Da Punjabi Dhaba,BTM,+91 9686407198,500
Refills Eatery And Beverages,BTM,+91 8884440797,450
King Punjabi Restaurant,BTM,+91 9741006676,300
Hotel Godavari,BTM,+91 9035798370,500
Tharavadu,HSR,+91 9886876999,400
Noodle Panda,Koramangala 5th Block,+91 8043029207,800
Biryani Palace,HSR,+91 8105719991,600
Thottathil Restaurant,BTM,+91 8042274318,300
Kulfisthan,HSR,+91 9611203100,150
Aubree Le Chocolatier,Koramangala 6th Block,+91 9611117777,300
Brownie Points,Koramangala 4th Block,+91 9448087587,300
Biryani Mandra,Koramangala 1st Block,+91 9962417996,500
Call A Cake,BTM,+91 9980903360,500
Qube Cafe,Koramangala 4th Block,+91 9535256633,700
Rang De Basanthi,Koramangala 4th Block,+91 8060500444,400
The Burger Place,Koramangala 1st Block,+91 9108974600,400
Little Lucknow,Koramangala 5th Block,+91 7259259888,800
GrannyzHut,HSR,+91 9933667582,350
The Beer Cafe,Koramangala 4th Block,+91 8929188568,"1,300"
Attic Lounge,Koramangala 4th Block,+91 nan,700
Eagles Pizza,Koramangala 7th Block,+91 8296052909,400
Bistro Claytopia,Koramangala 1st Block,+91 8043759392,600
Flavour of Himalaya,Koramangala 5th Block,+91 8884834641,500
Hum Biryani,BTM,+91 8546822221,600
Ganesh Restaurant,Koramangala 5th Block,+91 9845177981,300
Paratha Singh Pakora King,Koramangala 6th Block,+91 8048544237,300
Eshmeet Da Dhaba,Koramangala 6th Block,+91 9845982831,500
Moolehatti Donne Biryani Mane,HSR,+91 8065000346,400
Howrah Bridge,HSR,+91 8041201717,600
Ghee Positive,Koramangala 8th Block,+91 7349217951,300
Tibetan Mother's Kitchen,Koramangala 7th Block,+91 8041739260,500
Pecos Hideout,BTM,+91 7259166661,"1,100"
Hanoi - Vietnamese Cuisine,Koramangala 4th Block,+91 8041405599,"1,000"
Royal Paris,BTM,+91 8026845444,"1,000"
What'sinaPita,Koramangala 1st Block,+91 9108974600,400
Swaadam Veg,BTM,+91 8049994999,300
Mustard Food Court,Koramangala 3rd Block,+91 8040924441,500
Patiala House,Koramangala 7th Block,+91 9448120180,300
Once Upon A Flame,HSR,+91 7760533337,"1,200"
Karahi Kitchen,Koramangala 5th Block,+91 8049653156,300
Nilu Ki Rasoi,BTM,+91 8884928660,250
Chicken Corner,BTM,+91 8049653529,400
Rolla Rappa,HSR,+91 8147491682,400
Still Sipping,HSR,+91 8049653518,800
Tawa Ghar Ka,HSR,+91 7259590034,350
Uday Sweets,Koramangala 5th Block,+91 9449111794,250
Mitran Da Junction,Koramangala 6th Block,+91 8043717046,600
Gramin,Koramangala 7th Block,+91 8041104104,600
Tenzin Kitchen,Koramangala 7th Block,+91 9731453282,450
Raichur Biryani House,HSR,+91 8050008880,400
Laziz Pizza,Koramangala 7th Block,+91 8049652743,400
Al Hayath,BTM,+91 9342577103,200
Khaja Point,BTM,+91 9886804017,300
Kumarakom,HSR,+91 8049653501,600
WAFL Co,Koramangala 5th Block,+91 8043758178,400
Oh My Biryani,HSR,+91 8197470002,550
Kinpeetos,Koramangala 5th Block,+91 8585982807,300
Pipabu,Koramangala 4th Block,+91 8043707570,750
The Rasoiya Street,HSR,+91 9663030533,800
Sector 7 CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,HSR,+91 8041697171,700
Smise,Koramangala 4th Block,+91 8048659933,650
Ilyazsab The House Of Chicken,BTM,+91 8546857860,250
The Paramount Hotel,Koramangala 5th Block,+91 9743540000,"1,000"
Habibi Falafel,Koramangala 1st Block,+91 7022311777,300
BTM Ghar ka Khana,BTM,+91 9845018962,200
Nasi And Mee,Koramangala 4th Block,+91 8049653462,"1,000"
NutBerry,HSR,+91 9605222921,150
Darshan Paradise Restaurant,BTM,+91 9880414009,250
Aami Bangali,Koramangala 5th Block,+91 7619412473,700
Dalma,Koramangala 6th Block,+91 8041600213,600
Mid-Night Crunch,HSR,+91 7829286850,400
Make It Roll,HSR,+91 8048653336,400
Roots,Koramangala 1st Block,+91 8049653573,"1,200"
Bamey's Restro Cafe,Koramangala 5th Block,+91 8041102071,600
Potato Bae,Koramangala 5th Block,+91 9632599997,500
Meal & Biryani,Bommanahalli,+91 8042200365,450
Fitnest,BTM,+91 9033435979,350
Sonar Bangala,Koramangala 5th Block,+91 8043729350,500
Cochin Connection,Koramangala 6th Block,+91 8884449569,500
Krem,Koramangala 5th Block,+91 8049653345,450
Samaikya,HSR,+91 8861730009,900
Bisimillah Biriyani,BTM,+91 8050077699,300
Feastaurant,HSR,+91 9686847427,800
The Smoke Co.,Koramangala 6th Block,+91 8046218500,"2,500"
Rashtrakutas,HSR,+91 8884459955,800
Hunger Hitman,Koramangala,+91 9742458090,300
Snow'ora,Koramangala 4th Block,+91 8770233899,450
New Friends,BTM,+91 8026784129,900
Aalishan Restaurant & Caterer,Koramangala 7th Block,+91 8042005111,650
Hotel Food Lands,Koramangala 7th Block,+91 9743093351,700
Black Kitchen,Koramangala 6th Block,+91 8861848445,400
Avon Bar & Kitchen,BTM,+91 9590222288,700
China Pearl,Koramangala 6th Block,+91 8041105060,"1,100"
Cheesy Juicy Burgers,HSR,+91 9740822011,500
Yum Kitchen,HSR,+91 9886416448,600
What's In A Name,Koramangala 5th Block,+91 8049652465,"1,200"
Dragon's Kitchen,HSR,+91 9035215484,500
Tunday Kababi,Koramangala 5th Block,+91 9731553030,500
Anvar Bhai's,BTM,+91 096327807,250
Biryani Foodies,Koramangala 5th Block,+91 8043761888,500
Azimmo Treat,HSR,+91 8861752567,700
Maria's Goan Kitchen,Koramangala 7th Block,+91 8892283138,750
Dhaba Bytes,HSR,+91 8042023320,650
Noon's,HSR,+91 9243405888,300
The Waffle Street,HSR,+91 8095214455,300
Pizza Cart,HSR,+91 7338233337,800
China Bowl,Koramangala 6th Block,+91 7259371374,"1,000"
Grills And Tandoor,Koramangala 5th Block,+91 8910378576,900
Smokey Tribe Restaurant,Koramangala 7th Block,+91 8048658077,650
Harry's Bar + Cafe,Koramangala 7th Block,+91 8376863192,"1,400"
Hotel Reddy Bhavan,HSR,+91 9845111989,300
Tasty Noodle,HSR,+91 9880220718,400
Brooks and Bonds Brewery,Koramangala 5th Block,+91 8618472589,"1,600"
Narmadha's Hyderabad Biriyani,BTM,+91 9343024671,550
The Marash,Koramangala 5th Block,+91 8050000164,250
Gods Own Cafe,Koramangala 7th Block,+91 9686023641,300
Tim Tai,Koramangala 5th Block,+91 7204198888,"1,400"
Garage Food Company,HSR,+91 8049722220,300
Eat N Drink,BTM,+91 9535776611,250
Malabar Treat,Koramangala 1st Block,+91 9605022326,500
Malabar Xpress,Koramangala 5th Block,+91 8095556677,300
Fill N Chill Resto Bar & Pub,Koramangala 4th Block,+91 9591989862,"1,200"
The Arabian Nights,BTM,+91 8618204542,300
Shift,HSR,+91 8049653439,"1,500"
Mini Adiga's,BTM,+91 8494911129,250
Snakk That,HSR,+91 7975772412,250
Swathi Maharaja,Koramangala 4th Block,+91 8025526407,750
Sai Mango Tree,BTM,+91 8050438433,500
Via Milano,Koramangala 4th Block,+91 8041309997,"1,500"
Dr. Shawarma,HSR,+91 9632680729,200
Mimansa @ Foxtrot,Koramangala 3rd Block,+91 9606485642,"1,000"
Oldtown Dilli,Koramangala 4th Block,+91 9108921010,750
Fava Bistro,Koramangala 5th Block,+91 8043029777,"1,500"
Kings Kitchen,Koramangala 1st Block,+91 9916533331,500
New Andhra Spice,BTM,+91 7996551546,600
Amaravati,BTM,+91 8041509421,400
More Than Chocolates,BTM,+91 9845334203,200
Om Sai Baba Mess,HSR,+91 9900726246,250
Crunchy Nights,BTM,+91 9844311113,350
Elmas Restaurant,Koramangala 7th Block,+91 9886844944,650
The Sandwich Club,HSR,+91 9980473809,250
Crawl Street,Koramangala 5th Block,+91 7022177177,"1,200"
Vintage Shack,HSR,+91 8049652190,900
Zingron,Koramangala 7th Block,+91 8040997506,750
Magnolia,Koramangala 3rd Block,+91 8041102222,900
Bharat Kitchen,Koramangala 1st Block,+91 8480050000,300
Tandoori,Koramangala 5th Block,+91 7353770007,300
Kargeens,Koramangala 6th Block,+91 8041162968,600
Tomago Roast,BTM,+91 7406935303,400
Champaran Spice,BTM,+91 9980047224,400
Drunkling - Sizzlers and Pub,Koramangala 5th Block,+91 8660457440,"1,000"
Bengali Fun Foods,BTM,+91 9176993535,600
A.M New Punjab Food Corner,Koramangala 1st Block,+91 9900604263,350
Samosa King,BTM,+91 7619128447,200
The Cheesecake Corner,BTM,+91 9980519718,400
Mid Night Hunting,Ejipura,+91 8892140430,300
Carrots,Koramangala 6th Block,+91 8041172812,"1,100"
Swad 'E' Punjab,HSR,+91 9986006784,500
Rolls & Co,Koramangala 6th Block,+91 7353848635,400
Fogg,BTM,+91 9148788860,200
Sunny Cafe & Kitchen,HSR,+91 8049653055,700
A Today Thick Shakes,Koramangala 5th Block,+91 9164213614,200
Asgardian Moreover Chai,BTM,+91 7829933307,300
Sober Turtle,Koramangala 4th Block,+91 7795579571,250
Classic Biryani Hut,HSR,+91 8660778551,300
Khan's Biryani,BTM,+91 9902261142,300
Dhaba Express,HSR,+91 8867456453,400
Candy Cake,BTM,+91 9738122682,500
Whooppeezz,BTM,+91 nan,500
Hungry Lee,BTM,+91 9900676240,500
South Side Grill,HSR,+91 8861730009,600
Cinnamon,HSR,+91 9900890054,550
Singh Punjabi Dhaba,BTM,+91 7411220499,400
Pabrai's Fresh and Naturelle Icecreams,BTM,+91 9591461292,300
Homely Curries & Pickles,BTM,+91 8008063936,300
Kopper Kadai,Koramangala 5th Block,+91 8147957515,"1,200"
Borah's Kitchen,BTM,+91 9844900364,250
Kevins Kitchen,Koramangala 6th Block,+91 9901170611,400
Yeti,BTM,+91 9901970013,300
The Biryani Story,BTM,+91 8026681316,600
Maruti Garden,BTM,+91 7025707518,450
Sofiya Cakes,BTM,+91 9945140333,300
Oveanly,BTM,+91 8217790989,200
Sree Food Paradise,BTM,+91 8951458076,150
Marahaba,Koramangala 6th Block,+91 9148078240,400
Kaaka T Cafe,BTM,+91 7996446475,400
Melt,BTM,+91 8041656568,"1,000"
Food Junction,BTM,+91 9538329391,400
Durbar Greens Family Restaurant,Hosur Road,+91 8884770798,700
Neer Dosa Fish Land,BTM,+91 8660029705,600
Shaahi Mezbaan Restaurant,BTM,+91 7411201331,350
Dash In,BTM,+91 8025507770,600
Bruncherz,BTM,+91 9481160720,200
Snaxup Restaurant,BTM,+91 9871237624,300
Hunger Buds,BTM,+91 7978198920,250
Tandoor-De-Naal,BTM,+91 9108820711,200
Tummy Delight,BTM,+91 8884263854,400
Amaravati Grand,BTM,+91 8026680307,550
New Farm Fresh,BTM,+91 8884062000,650
Amrutha Mess,BTM,+91 9945374603,300
Momo Hut,Koramangala 5th Block,+91 9901617606,250
Bewiched,HSR,+91 6361935508,300
Daawat Restaurant Bar & Pub,Koramangala 7th Block,+91 9964849987,700
BelgYum,Koramangala 7th Block,+91 9900140017,400
Dine in Restaurant,BTM,+91 9740001498,500
Top Foam Parantha Roll & Juice Centre,BTM,+91 8792536494,300
Shawarma Bae,BTM,+91 8754555479,200
Coal Grill & Cafe,BTM,+91 9538092045,300
Desi Urbane,BTM,+91 9739111006,450
The Fresh Wok,BTM,+91 9513979854,600
TRIGEREATO,Koramangala 8th Block,+91 9620840390,700
Night Cafe,BTM,+91 7676059576,350
The Enav Bowl,Koramangala 5th Block,+91 nan,
Savandh's Kitchen - Donne Biryani,BTM,+91 7411159771,350
Y Not Shawarma,BTM,+91 8867323199,300
Deepam Tiffins,BTM,+91 7003050054,300
What the Food,BTM,+91 9739019190,250
Around The Corner,BTM,+91 8971428672,350
So-Fat's Dosas,BTM,+91 7406222201,200
Singh Da Dhaba,BTM,+91 7411220499,400
Two States,BTM,+91 8618040055,250
SoopeRolls,BTM,+91 8892067566,250
BongHomie,BTM,+91 7003149419,300
Adithya Family Restaurant,BTM,+91 9845284661,250
Ambur Biriyani Point,BTM,+91 8792721772,150
Gobi Gate,BTM,+91 9008092626,200
Parivaar,BTM,+91 8042171421,600
Hungry Nights,BTM,+91 9535855143,300
Shater Grill House,BTM,+91 9108964477,700
Pizza D Italy,BTM,+91 9844440058,500
Amara Food Point,BTM,+91 8074933070,250
Night Bell,South Bangalore,+91 9742701486,450
Eaternet,BTM,+91 8105520167,300
Shangai Sun,BTM,+91 9972660125,500
My Dabeli & My Pizza,BTM,+91 9448053535,400
Mongolian Kitchen,BTM,+91 9513409686,500
Chef All Nite,BTM,+91 9535793969,300
The Hidden Cafe,Koramangala 1st Block,+91 9113257420,350
The Shawarma Inc,Koramangala 5th Block,+91 9900012191,200
Some Mo',Koramangala 6th Block,+91 9986809446,200
Appam & Curry,Koramangala 1st Block,+91 7204841500,200
Nutrition on Wheels,BTM,+91 9620998898,300
Hungry Queen,HSR,+91 8045128761,300
Grill N Chill,BTM,+91 7204795955,400
Chakh Le india,Bommanahalli,+91 8123565983,250
2nd Home Restaurant,BTM,+91 8310103450,500
Wakeup Cafe,HSR,+91 9108707669,300
Chill-Um Cafe,Koramangala 6th Block,+91 8310996776,600
Abhiruchi,HSR,+91 7259190003,400
Cafemoto,Koramangala 5th Block,+91 6360827051,800
Kapoor's Biriyani,BTM,+91 9535793969,400
Kokomo,Koramangala 6th Block,+91 9148164362,500
Keep It Straight Cafe,HSR,+91 8553956723,500
Rollin,Koramangala 4th Block,+91 8049653017,400
Habitts,BTM,+91 9916889996,450
Waffle In The Box,HSR,+91 7005889963,300
Al Habibi Restaurant,BTM,+91 9611118091,300
Punjabi Chulha,Koramangala 1st Block,+91 9880513340,400
Under The Hood,Koramangala 1st Block,+91 7204841500,300
Berry'd Alive,Koramangala 5th Block,+91 8884411167,400
Ghar Ka Khana,Koramangala 1st Block,+91 9448375463,150
Burger Lounge,Koramangala 5th Block,+91 8043755575,600
The Kream Story,Koramangala 7th Block,+91 6363455684,500
Banana Beach Bar,Koramangala 6th Block,+91 8049652918,"1,300"
Taza Khaana,HSR,+91 8048668269,450
Hunger Night King,Koramangala 2nd Block,+91 7338312145,400
Ilyazsab Shawarma Cafe,Jayanagar,+91 8546857860,300
Lunch & Munch,BTM,+91 9035001901,500
Double Blend,BTM,+91 8848575240,200
Hasini Foods,Koramangala 4th Block,+91 8043007500,450
Kataria's Home Food,BTM,+91 9845089103,400
Night Spoon,BTM,+91 8042171421,600
The Night Watch Express,Koramangala 1st Block,+91 9886788804,500
Pensiri Cafe,HSR,+91 8867456453,300
Marunadan Kada,BTM,+91 9035700470,250
The Kitchen Bandit,Koramangala 2nd Block,+91 7338312145,350
Fresh Bites,Koramangala 1st Block,+91 9980305500,400
Lassi Pot,BTM,+91 9611978917,250
Royal View Restaurant,BTM,+91 8041133114,700
Ober Cafe,Koramangala 1st Block,+91 9645262573,200
Mealsbaba,HSR,+91 8296244026,400
Tawa,Koramangala 1st Block,+91 9663950126,200
The Kitchen Story,HSR,+91 8043713443,300
House of Chaaps,Koramangala 1st Block,+91 8527566955,450
Egg Star,HSR,+91 8073738020,300
Lucky's Biriyani Point,HSR,+91 8884694298,400
Khichadiwala,HSR,+91 9422190983,400
Nile Garden Restaurant,BTM,+91 8025534747,500
Kullukki,Koramangala 5th Block,+91 9188125772,400
Big Wong XL,Koramangala 5th Block,+91 9902667866,"1,400"
Khawa Karpo,Koramangala 5th Block,+91 8861867719,350
The Himalayan,Koramangala 5th Block,+91 7022450852,"1,200"
Side Street Kitchen,Koramangala 5th Block,+91 9884072748,400
Crave Bite,Jayanagar,+91 6360086653,400
Biryani Knights,JP Nagar,+91 9632111158,300
Dum & Oven,HSR,+91 9986861086,600
Now Momos,Koramangala 7th Block,+91 8918480793,200
Midnight Express,Koramangala 5th Block,+91 9538100092,650
Hungry Bowl,Koramangala 5th Block,+91 7348979439,500
Owly,Koramangala,+91 7795507757,350
Kebarbiq,Koramangala 7th Block,+91 8025534444,800
Pakiza Dilli Darbar Restaurant,BTM,+91 9391668083,300
Intriicake,HSR,+91 9916219054,350
Queen Pearls,Ejipura,+91 9739571123,500
Sunny's Kitchen,HSR,+91 8043713443,500
Halo Chef,Koramangala 4th Block,+91 7028888869,500
Natuna Seafood House,Koramangala 5th Block,+91 8043028330,450
Gourmet Food Truck,South Bangalore,+91 9513481481,200
Delicious Demons,Koramangala 1st Block,+91 9108533123,400
Zero Kelvin,Koramangala 4th Block,+91 7619369781,450
Ocean,Koramangala 6th Block,+91 9742127026,700
Subham Pal Kitchen,Koramangala 1st Block,+91 7624814763,300
The Retro,Koramangala 7th Block,+91 8048654866,300
Raj Darbar,Koramangala 6th Block,+91 7676867993,800
Akshaya Grand,BTM,+91 9844508520,750
House Of Commons,Koramangala 5th Block,+91 8045128604,"1,000"
Happy Brew,Koramangala 5th Block,+91 8040937001,"1,000"
Krishna Grand,HSR,+91 7002861311,200
M World Cafe,Koramangala 1st Block,+91 9980305500,500
Namaste Kitchen,Koramangala 5th Block,+91 9818462090,400
India On Wheels,Koramangala 3rd Block,+91 9920710829,400
Manashi Paratha & Pav Bhaji,HSR,+91 8892304072,200
Royal Treat,Koramangala 5th Block,+91 9845069799,500
Anjappar,Koramangala 4th Block,+91 8025534477,650
Indian Coffee House & Restaurant,Koramangala 5th Block,+91 8025522339,650
Samosa Party,Koramangala 5th Block,+91 8043743565,150
Johnny Fox,Hosur Road,+91 9880292984,"1,500"
Taj Durbar,Jayanagar,+91 8065351313,400
Hyderabad Bawarchi,Jayanagar,+91 8884979343,800
Shree Thali,Koramangala 5th Block,+91 9036220937,150
Panjabi Dhaba,Bommanahalli,+91 9632537148,300
Swa-Desh A Family Restaurant,Koramangala 1st Block,+91 7406154184,300
Mayuri Andhra Mess,Koramangala 5th Block,+91 9986915925,300
North Indian And Bengali Mess,Koramangala 5th Block,+91 8971812966,300
Momos Corner,HSR,+91 8887993951,250
Meal In A Box,Koramangala 7th Block,+91 8884110007,300
Panwaadi,Koramangala 4th Block,+91 9899443477,100
Pai's Kitchen,Koramangala 2nd Block,+91 8069597777,200
Good Bread,JP Nagar,+91 8026597787,300
Natha & Lobo's,Jayanagar,+91 9148737161,500
Guntur's Vandanam Food Zone,Koramangala 1st Block,+91 7795959254,600
FNC Seafood,Koramangala 5th Block,+91 8041106602,400
Kyakhanahai,Koramangala 5th Block,+91 9591810821,400
Mysore Carnival Restaurant,Koramangala 6th Block,+91 8296503663,350
SVR Foods - Night Ka Khana,JP Nagar,+91 9741935877,400
Ronnie's Kitchen,Koramangala 5th Block,+91 9986627088,200
The Tower Of Pizza,Koramangala 5th Block,+91 9831911958,500
Indian Dhaba,HSR,+91 9148911413,450
S.W.A.T Food Truck,Koramangala 5th Block,+91 9739725171,250
The Night King,Koramangala 7th Block,+91 9632509476,400
Niice Cream,Koramangala 5th Block,+91 9742339885,400
